Principio activo;Aptitud;Cultivos;Residuos (mg /Kg);Post Cosecha
1,3 Diclopropeno;(Herbicida - Fungicida - Nematicida);;Exento;
1,4 diaminobutano;(Feromona);;Exento;
2,4 -  DB;(Herbicida);Alfalfa (grano consumo);0.2;
2,4 -  DB;(Herbicida);Lenteja (grano consumo);0.2;
2,4 -  DB;(Herbicida);Maní (sin cáscara);0.2;
2,4 -  DB;(Herbicida);Pasturas consociadas (leguminosas y gramíneas);0.2;
2,4 -  DB;(Herbicida);Soja (grano consumo);0.2;
2,4-D;(Herbicida);Alpiste (grano consumo);0.2;
2,4-D;(Herbicida);Alpiste (forraje);20;
2,4-D;(Herbicida);Arroz (grano consumo);0.05;
2,4-D;(Herbicida);Avena (grano consumo);0.2;
2,4-D;(Herbicida);Praderas (naturales);20;
2,4-D;(Herbicida);Caña de azúcar (tallo fresco);2;
2,4-D;(Herbicida);Cebada (grano consumo);0.2;
2,4-D;(Herbicida);Centeno (grano consumo);0.2;
2,4-D;(Herbicida);Lenteja (grano consumo);0.2;
2,4-D;(Herbicida);Cítricos en general;2;
2,4-D;(Fitorregulador);Cítricos en general;2;Po 
2,4-D;(Herbicida);Maíz (grano consumo);0.05;
2,4-D;(Herbicida);Maíz (forraje);20;
2,4-D;(Herbicida);Maní (sin cáscara);0.2;
2,4-D;(Herbicida);Mijo (grano consumo);0.2;
2,4-D;(Herbicida);Mijo (forraje);20;
2,4-D;(Herbicida);Papa;0.2;
2,4-D;(Herbicida);Pasturas de gramíneas;20;
2,4-D;(Herbicida);Sorgo (grano consumo);0.05;
2,4-D;(Herbicida);Sorgo (forraje);20;
2,4-D;(Herbicida);Trigo (grano consumo);0.2;
2,4-D;(Herbicida);Lino (forraje);20;
6 BENCIL ADENINA;(Fitorregulador);      Manzana (Red Delicius)                   ;0.01;
6 BENCIL ADENINA;(Fitorregulador);Pera;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Acelga;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Achicoria;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Albahaca;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Algodón (semilla consumo);0.01;
ABAMECTINA/AVERMECTINA;(Ac - In - Ne - Tratamiento Semillas);Algodón (semilla consumo);Exento;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Apio;0.05;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Berro;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Cilantro;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Cítricos en general;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Eneldo;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Escarola;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Espinaca;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Florales y ornamentales;Exento;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Frutilla;0.02;
ABAMECTINA/AVERMECTINA;(Ac - In - Ne - Tratamiento Semillas);Maíz (grano consumo);Exento;
ABAMECTINA/AVERMECTINA;(Insecticida - Acaricida);Maní;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Manzana;0.05;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Melón;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Lechuga;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Oregano;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Pepino;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Pera;0.05;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Pimiento;0.3;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Radicheta;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Rúcula;2;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Sandía;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Tabaco ;Exento;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Tomate;0.04;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Tomillo;0.5;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Papa;0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Salvia;0.5;
ABAMECTINA/AVERMECTINA;(Insecticida);Soja (grano consumo);0.01;
ABAMECTINA/AVERMECTINA;(Ac - In - Ne - Tratamiento Semillas);Soja (grano consumo);0.01;
ABAMECTINA/AVERMECTINA;(Acaricida - Insecticida);Salvia;0.5;
ACEFATO ;(Insecticida);Alfalfa (forraje);10;
ACEFATO ;(Insecticida);Algodón (semilla consumo);2;
ACEFATO ;(Insecticida);Arveja (grano consumo);0.5;
ACEFATO ;(Insecticida);Praderas (naturales);10;
ACEFATO ;(Insecticida);Cítricos en general;1;
ACEFATO ;(Insecticida);Girasol (Grano consumo);2;
ACEFATO ;(Insecticida);Maíz dulce (grano consumo);0.5;
ACEFATO ;(Insecticida);Maíz (grano consumo);0.5;
ACEFATO ;(Insecticida);Papa;0.5;
ACEFATO ;(Insecticida);Poroto (grano consumo);0.5;
ACEFATO ;(Insecticida);Pasturas consociadas (leguminosas y gramíneas);10;
ACEFATO ;(Insecticida);Soja (grano consumo);0.5;
ACEFATO ;(Insecticida);Sorgo (grano consumo);0.5;
ACEFATO ;(Insecticida);Tomate;1;
ACEFATO ;(Insecticida);Lino (Forraje) ;1;
ACEFATO ;(Insecticida);Tabaco ;Exento;
ACEFATO ;(Insecticida - Tratamiento de semillas);Sorgo, poroto, algodón, girasol, maiz;Exento;
ACEITE DE ARBOL DEL TE;(Funguicida);Arándano;Exento;
ACEITE DE ARBOL DEL TE;(Funguicida);Frutilla;Exento;
ACEITE DE ARBOL DEL TE;(Funguicida);Pimiento;Exento;
ACEITE DE ARBOL DEL TE;(Funguicida);Tomate;Exento;
ACEITE DE ARBOL DEL TE;(Funguicida);Uva ;Exento;
